ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,Ligitimacy,OnPeakHours,GridNumber,Task_value
1,42.139109926891095,12.491672040372578,2,11,44,70,70,10,100,True,True,44,2
2,42.156296585502695,12.511117641566655,0,9,3,50,50,10,100,True,True,76,7
3,42.14309530076537,12.49388978463099,2,16,6,70,70,8,100,True,True,44,2
4,42.14092661633357,12.534686255415128,1,21,5,60,60,9,100,True,True,49,10
5,42.13790236632472,12.526865567738412,0,11,52,40,40,8,100,True,True,38,1
6,42.147603489501435,12.518027176523205,0,10,18,20,20,8,100,True,True,57,10
7,42.15350599418839,12.498685586128216,2,10,34,20,20,7,100,True,True,65,3
8,42.156357289802536,12.497156037161748,2,9,48,40,40,7,100,True,True,75,6
9,42.14984192559077,12.500545262293278,2,12,31,20,20,8,100,True,True,55,6
10,42.1510734434269,12.5062244644796,0,16,26,50,50,10,100,True,True,66,10
11,42.148273567419544,12.527356894182915,0,11,15,70,70,10,100,True,True,58,7
12,42.12355210833318,12.538332917374804,1,7,30,100,100,9,100,True,True,20,5
13,42.14760956570716,12.473525879919778,0,11,19,60,60,9,100,True,True,52,5
14,42.154836758479675,12.475455347244578,2,7,52,20,20,10,100,True,True,62,3
15,42.15160602561719,12.511550648379854,0,17,34,30,30,8,100,True,True,66,10
16,42.15846935804963,12.485963402652706,1,14,29,30,30,7,100,True,True,73,3
17,42.14692170863859,12.521893306345493,1,5,33,10,10,7,100,True,True,58,2
18,42.15347912600719,12.537036064581082,0,11,8,70,70,8,100,True,True,70,8
19,42.152360549971995,12.493243315899555,2,12,34,20,20,9,100,True,True,64,9
20,42.13056458422722,12.495789734776379,0,9,55,50,50,7,100,True,True,25,5
21,42.14679522381962,12.52796326467521,2,11,34,30,30,8,100,True,True,59,10
22,42.15470962977983,12.496943463430027,0,10,47,80,80,8,100,True,True,65,7
23,42.15400759745753,12.518010070621923,2,2,11,60,60,7,100,True,True,67,2
24,42.140230937375456,12.531464560869617,2,10,40,10,10,10,100,True,True,49,9
25,42.12674578661213,12.521008830493255,0,2,25,20,20,8,100,True,True,18,2
26,42.1413431000792,12.495853330004651,1,14,5,30,30,9,100,True,True,45,7
27,42.151792094332855,12.523134980427308,1,9,51,40,40,7,100,True,True,68,6
28,42.15342309189949,12.511315008982775,2,10,46,60,60,8,100,True,True,66,5
29,42.14444859175261,12.504993972814955,1,21,19,40,40,9,100,True,True,46,3
30,42.148027476862055,12.492549789961242,0,14,20,70,70,10,100,True,True,54,3
31,42.15322062422627,12.485549176638674,1,9,6,80,80,9,100,True,True,63,1
32,42.13015823287798,12.49604450708349,2,12,30,40,40,8,100,True,True,25,3
33,42.16098779409287,12.52162340054068,0,16,39,30,30,7,100,True,True,78,2
34,42.15089681943298,12.473213952773216,0,11,40,100,100,8,100,True,True,62,2
35,42.15847965793868,12.500398861243488,2,13,26,50,50,7,100,True,True,75,6
36,42.15680842119351,12.50350306733036,2,14,35,50,50,9,100,True,True,75,8
37,42.15855689457617,12.508414190057712,0,21,22,40,40,7,100,True,True,76,4
38,42.1523614220921,12.503396678788565,1,6,42,60,60,8,100,True,True,65,5
39,42.15697779106934,12.478564572695223,1,22,3,30,30,7,100,True,True,72,10
40,42.15662151851373,12.530005740652713,0,23,43,20,20,8,100,True,True,79,5
41,42.146000953714555,12.472905725843589,0,7,23,60,60,7,100,True,True,52,10
42,42.14764385533552,12.477825686646687,0,9,35,80,80,8,100,True,True,52,6
43,42.15236357322829,12.519802019449642,0,16,29,60,60,9,100,True,True,68,3
44,42.135959331335,12.533028648088923,0,12,6,30,30,8,100,True,True,39,4
45,42.138811991909854,12.517435508809307,2,10,57,20,20,8,100,True,True,37,3
46,42.14224341630182,12.527742331070403,2,10,37,10,10,9,100,True,True,49,1
47,42.14215052076448,12.499738916396314,1,17,48,40,40,7,100,True,True,45,9
48,42.15352482963412,12.52413158627071,1,8,33,60,60,7,100,True,True,68,9
49,42.14088471555041,12.472611943179501,2,10,46,10,10,9,100,True,True,42,2
50,42.15875154270049,12.50731732639886,0,13,36,60,60,7,100,True,True,76,4
51,42.15375537096842,12.50381230246106,1,10,5,60,60,10,100,True,True,66,9
52,42.140862405813884,12.521071009474154,0,11,50,20,20,9,100,True,True,48,6
53,42.15989410624562,12.496435030070659,2,11,47,20,20,10,100,True,True,75,7
54,42.14233344937761,12.500012282588399,0,16,46,30,30,8,100,True,True,45,10
55,42.143925825053145,12.483529890479435,0,10,31,20,20,9,100,True,True,43,6
56,42.1317061362988,12.492646979619424,1,7,36,80,80,9,100,True,True,24,6
57,42.16671436871031,12.507817616609904,1,16,0,40,40,7,100,True,True,86,3
58,42.147315015899814,12.532435396065017,2,14,24,20,20,8,100,True,True,59,6
59,42.140719764319115,12.538137444703883,1,9,53,20,20,9,100,True,True,50,2
60,42.13199980301005,12.514030640263508,1,9,5,40,40,9,100,True,True,27,2
61,42.148995347435594,12.518076211448763,2,13,16,30,30,10,100,True,True,57,8
62,42.146378135597345,12.488326563717916,0,20,22,70,70,10,100,True,True,54,9
63,42.153911855821,12.51640925755619,2,11,55,70,70,9,100,True,True,67,1
64,42.15443694371937,12.491000157524546,2,14,38,60,60,8,100,True,True,64,5
65,42.15016710617134,12.490585926005815,0,13,41,50,50,8,100,True,True,54,3
66,42.1481240492148,12.487902990545523,0,11,31,20,20,8,100,True,True,54,4
67,42.1527621175181,12.496899909117868,2,8,54,60,60,10,100,True,True,65,5
